question,choice_a,choice_b,choice_c,choice_d,answer
あつい → ?,あつい,あつかった,あつくて,あつそう,C
さむい → ?,さむい,さむかった,さむくて,さむそう,C
つめたい → ?,つめたい,つめたかった,つめたくて,つめたそう,C
あたたかい → ?,あたたかい,あたたかった,あたたかくて,あたたかそう,C
たかい → ?,たかい,たかかった,たかくて,たかそう,C
ひくい → ?,ひくい,ひくかった,ひくくて,ひくそう,C
やすい → ?,やすい,やすかった,やすくて,やすそう,C
むずかしい → ?,むずかしい,むずかしかった,むずかしくて,むずかしそう,C
かんたん（な） → ?,かんたん,かんたんだった,かんたんで,かんたんだろう,C
たのしい → ?,たのしい,たのしかった,たのしくて,たのしそう,C
おもしろい → ?,おもしろい,おもしろかった,おもしろくて,おもしろそう,C
しずか（な） → ?,しずか,しずかだった,しずかで,しずかだろう,C
にぎやか（な） → ?,にぎやか,にぎやかだった,にぎやかで,にぎやかだろう,C
きれい（な） → ?,きれい,きれいだった,きれいで,きれいだろう,C
げんき（な） → ?,げんき,げんきだった,げんきで,げんきだろう,C
ゆうめい（な） → ?,ゆうめい,ゆうめいだった,ゆうめいで,ゆうめいだろう,C
しんせつ（な） → ?,しんせつ,しんせつだった,しんせつで,しんせつだろう,C
すき（な） → ?,すき,すきだった,すきで,すきだろう,C
きらい（な） → ?,きらい,きらいだった,きらいで,きらいだろう,C
はやい → ?,はやい,はやかった,はやくて,はやそう,C
おそい → ?,おそい,おそかった,おそくて,おそそう,C
おおきい → ?,おおきい,おおきかった,おおきくて,おおきそう,C
ちいさい → ?,ちいさい,ちいさかった,ちいさくて,ちいさそう,C
あたらしい → ?,あたらしい,あたらしかった,あたらしくて,あたらしそう,C
ふるい → ?,ふるい,ふるかった,ふるくて,ふるそう,C
いい（よい） → ?,いい,よかった,よくて,よさそう,C
わるい → ?,わるい,わるかった,わるくて,わるそう,C
